gene_ID,log2FC_A549,log2FC_BXPC3,log2FC_HAP1,log2FC_HT29,log2FC_K562,log2FC_MCF7,beta_cell_typeA549,beta_cell_typeBXPC3,beta_cell_typeHAP1,beta_cell_typeHT29,beta_cell_typeK562,beta_cell_typeMCF7,p_cell_typeA549,p_cell_typeBXPC3,p_cell_typeHAP1,p_cell_typeHT29,p_cell_typeK562,p_cell_typeMCF7
GMDS-DT,0.276828669,0.041032241,0.141119372,0.186517791,0.147230367,0.197930205,0.061237912,-0.012304511,0.019576579,0.069943497,0.068979308,0.056430463,0.314006123,0.665622338,0.655531355,0.072033215,0.025138004,0.024361478
CAMKMT,0.175762206,0.015668983,0.066770797,0.092122222,0.196660358,-0.048556217,-0.012145374,0.014995927,-0.001032536,0.0332841,-0.009767198,-0.042059092,0.733269822,0.33097028,0.954959831,0.162002857,0.705761507,0.024369773
MFGE8,0.17385522,0,0,0,0.242491335,0,0.110173218,0.027338275,-0.129567116,-0.343854798,0.089172851,-0.329728828,0.0243822,0.676385579,0.143681648,0.026790172,0.151315963,0.024965646
MIR181A1HG,0.036474923,-0.081220793,-0.037896818,0.048146621,0,0.01680334,0.048658447,-0.025907779,-0.061773845,-0.098027222,0.175159937,0.089811205,0.436851251,0.314182861,0.136136144,0.02439146,0.143939055,0.094824469
KDM3A,-0.070940804,0.062040376,-0.021164416,0.099423474,0.152677983,0.132898404,-0.075817086,-0.007360813,-0.104702606,0.031063716,0.011900224,-0.039469388,0.312052382,0.821242916,0.024400788,0.54306041,0.785702483,0.263939916
WASHC2A,0.250074584,-0.062993167,0.043263185,0.085069627,0.168085269,0.013393376,0.068660701,-0.059895942,-0.16449727,-0.128041762,-0.046952314,-0.174819456,0.454879369,0.240107436,0.024858247,0.195913483,0.469153517,0.02440219
ATN1,0.179504219,0.123582813,0.096369558,0.162304718,0.143622626,0.124791904,0.020107707,0.056043543,0.017299714,0.039051647,-0.04212738,0.056980023,0.781463032,0.024402258,0.661486179,0.339748494,0.428905136,0.152446856
PIGS,0,-0.043302896,0.076890932,0.000807801,0.210962192,0.08999341,0.122609773,0.026827087,-0.013623496,-0.233921095,0.097063869,-0.015543677,0.27154565,0.640087135,0.826971091,0.024420449,0.063889819,0.787533077
EMP2,-0.071141991,-0.085180661,0.20178265,0.191560686,0,0.036325479,-0.145549899,-0.015953526,-0.044042162,0.095663036,0.152411575,-0.027897971,0.23572223,0.553142647,0.457151124,0.02446484,0.117526347,0.195713679
SARS,0,0.068862622,0.143223181,0.171830399,0.143712004,-0.037703378,-0.214481299,-0.02846231,0.022759152,0.078422622,0.025169367,-0.069489771,0.179445823,0.405452277,0.641146388,0.143459142,0.547029532,0.02446778
EIF3F,0,-0.195911543,0.034813071,-0.076701051,0.371965803,0.154365225,-0.070894965,-0.125835235,-0.135850444,-0.013655143,-0.064248151,0.010765251,0.576071491,0.026484194,0.024472512,0.852102669,0.364251286,0.872706165
PTH2R,0,0,0,0,0.115305333,0,0.420942449,0.068405573,0.136526435,0.13012859,-0.029174917,-0.106746937,0.024473688,0.508861355,0.417165506,0.547170998,0.268426224,0.533829758
LPIN1,0.083807819,0,-0.012229952,0.095445074,0.085252346,0.005677988,0.074799849,0.024400703,-0.109149864,-0.049642499,-0.034559425,0.048677183,0.229544853,0.788639215,0.024529542,0.573663255,0.405863953,0.409433904
AL117336.3,0.23870978,0,0,-0.035957001,0.067014438,0.106872806,-0.034894589,-0.017034793,0.053485298,-0.009064675,-0.011791383,0.121890376,0.76817168,0.827765735,0.5060828,0.915798313,0.857837287,0.024576403
BAHCC1,0.08879164,0,-0.048019362,0.127302751,0.207001387,-0.122637195,-0.012420373,0.101133714,-0.105707431,-0.047095861,0.066123627,-0.146022055,0.909874849,0.101441712,0.110603113,0.551004865,0.378832243,0.024631115
NCAPD2,0.12461041,0.154040286,0.037697209,0.140402072,0.231587009,0.064305956,-0.125099675,0.043576917,-0.022485401,0.012623304,0.052922333,0.004348482,0.02463971,0.056728462,0.460411697,0.737892361,0.188843246,0.89085679
