gene_ID;log2FC_A549;log2FC_BXPC3;log2FC_HAP1;log2FC_HT29;log2FC_K562;log2FC_MCF7;beta_cell_typeA549;beta_cell_typeBXPC3;beta_cell_typeHAP1;beta_cell_typeHT29;beta_cell_typeK562;beta_cell_typeMCF7;p_cell_typeA549;p_cell_typeBXPC3;p_cell_typeHAP1;p_cell_typeHT29;p_cell_typeK562;p_cell_typeMCF7
CA12;1,314171421;-0,895915216;NA;-0,134285236;NA;0,840552741;0,361945282;-0,339781073;0,043529504;-0,083382938;0,114670105;0,292093308;6,80E-72;7,00E-05;0,78340655;0,010869009;0,670557698;2,88E-28
GPCPD1;0,819274819;0,347570025;-0,052683186;-0,015428378;-0,091667527;0,103296875;0,251952171;0,160670414;-0,002541531;0,060519163;-0,013935207;0,094735295;1,35E-71;6,76E-05;0,946047515;0,195388045;0,803875879;0,026806519
IGFL2-AS1;1,280663217;0,318763507;NA;NA;NA;NA;0,306954755;0,126216647;-0,338384217;0,2112316;-0,229504748;0,109369199;1,61E-71;0,0011379;0,269514083;0,051314614;0,53042716;0,599977668
KCNH1;-0,809495707;NA;NA;NA;NA;NA;-0,408440366;-0,42797932;0,066228776;0,012449783;0,786649696;0,227599579;1,86E-71;0,394367296;0,819090282;0,949231152;0,010831128;0,249056146
ALPK2;-0,377805573;NA;NA;NA;NA;NA;-0,20196339;-0,193797617;0,024730377;0,205490291;-0,198180892;0,12109836;5,44E-71;0,351184099;0,872165457;0,054414329;0,401167224;0,490914639
MIR31HG;-0,398831993;-0,177081048;-0,029341141;-0,192339731;-0,164438838;0,231147644;-0,130939102;-0,059299003;0,070081116;-0,102487605;-0,174291181;-0,06428036;1,25E-70;0,461182763;0,300658208;1,80E-14;0,172420579;0,471042991
GABRB3;0,698958207;NA;0,039629775;NA;0,272575362;NA;0,198652645;0,011210117;0,07635392;-0,009678488;-0,023274234;0,140557599;7,84E-70;0,913616911;0,03921982;0,943614493;0,838910692;0,392152414
MID1;0,480929845;0,14043885;-0,018743735;-0,166113095;0,147713947;0,033230526;0,183154585;0,056941438;-0,002198218;-0,062291977;-0,004201589;0,035991868;2,14E-69;0,128126288;0,961496254;0,070700244;0,954822828;0,586927126
CCBE1;-0,780991891;NA;NA;NA;NA;NA;-0,526510031;0,208475152;0,389087365;0,057158955;0,226268906;0,696866895;5,24E-69;0,319285288;0,048346569;0,747714292;0,474938662;0,001599066
MGST1;0,729841184;0,00304805;-0,018410186;-0,040712132;0,106637658;-0,030314811;0,203425139;-0,019956032;-0,054405067;0,050805519;-0,106522013;0,016733115;6,77E-69;0,417168803;0,169451877;0,048326851;0,196283741;0,625386488
CBLB;0,811248395;0,075124246;-0,012969244;0,066943065;0,220335281;0,361960639;0,229339418;0,084582736;0,020731564;0,084474467;0,07278775;0,111069335;1,18E-68;0,004229431;0,628219147;0,020896463;0,276453655;0,001440005
INPP4B;-0,474730081;-0,496196318;NA;-0,166792859;0,28036413;-0,460225672;-0,25436325;-0,206428673;0,107303535;-0,08815267;0,10328042;-0,257116796;1,49E-68;1,78E-19;0,191537762;6,60E-05;0,086812389;7,07E-46
SQSTM1;0,8581832;0,168941835;-0,045926096;-0,039944589;-0,215037279;-0,605480363;0,242266078;0,074428636;0,040534432;0,010517446;0,036397676;-0,264341791;2,54E-68;0,030263389;0,472438606;0,743300834;0,5946615;1,76E-08
PTGS2;1,091599731;-0,739858191;NA;NA;NA;NA;0,315113663;-0,256637154;-0,933411159;0,069098343;0,493441488;-0,12566686;6,78E-67;6,43E-12;0,042835377;0,609557051;0,084021561;0,746006926
BICC1;0,421739114;-0,148635309;0,061426756;NA;NA;NA;0,134772663;-0,047613557;0,004991251;0,056841551;0,236937986;-0,083379416;1,91E-66;0,462656914;0,894514946;0,554922812;0,170755211;0,546666276
TRIO;-0,353012497;-0,366418134;0,046925446;-0,046216883;-0,062094874;-0,363371458;-0,11254452;-0,125887821;-0,005113518;-0,013018645;0,069503996;-0,193698079;5,95E-65;5,82E-19;0,805051691;0,33193726;0,106899282;2,31E-33
DOCK4;-0,542926181;-0,34030992;-0,1412335;-0,092060394;0,405499382;-0,505864787;-0,211416185;-0,109646298;-0,065595588;-0,012872375;0,162076471;-0,476069558;1,75E-64;7,46E-06;0,071057807;0,615242122;0,05460043;1,51E-18
CMIP;-0,44154162;-0,259719964;0,043524563;-0,084572145;0,066052778;-0,092543874;-0,159322685;-0,07127381;-0,016045715;-0,036283699;0,034098253;-0,039106008;3,44E-64;1,57E-05;0,501185155;0,027873901;0,202732043;0,061245994
PRAG1;0,910816518;0,46307882;0,053319577;-0,128223166;NA;0,05380963;0,251400656;0,177378648;-0,112079823;0,00998169;0,409031021;0,0052705;4,85E-64;9,27E-13;0,124842399;0,793002032;0,000701434;0,897299223
CDH2;-0,511917683;NA;-0,016903513;NA;NA;NA;-0,2829464;-0,17038606;-0,045283628;0,077981466;-0,266116849;0,342219278;8,42E-64;0,201730083;0,080552345;0,582851693;0,432526635;0,134533201
BABAM2;0,426998975;0,198186847;0,07806227;0,005722495;0,136322973;0,031987868;0,173031514;0,090971433;0,036236572;0,019167847;0,030108432;0,019086048;2,08E-63;0,006714774;0,195290584;0,455358439;0,439525729;0,476237349
FGF2;-0,545406001;NA;0,036415996;NA;0,353607704;NA;-0,253845468;0,154438105;0,044157858;0,108533758;0,202672726;-0,05376948;3,82E-63;0,546855922;0,367871395;0,56573978;0,017056503;0,812678508
JAG1;-0,710608923;-0,749861932;-0,061757989;-0,180022248;NA;0,587598731;-0,366641191;-0,246965821;-0,015804259;-0,068568259;0,290009342;0,137365471;8,01E-63;5,19E-19;0,783652482;0,207136879;0,165110065;0,027400338
B4GALT5;0,554744965;-0,287070659;0,088790118;-0,01038348;0,063799197;-0,016766906;0,205182887;-0,049261504;0,048487977;0,021114318;-0,001267953;-0,066208116;8,42E-63;0,087993309;0,198983095;0,348355691;0,979642281;0,123574728
TARID;2,078328275;0,475650939;NA;0,274291379;NA;NA;0,438272078;0,175832658;-0,068437098;0,173203179;-0,004287054;-0,005778403;1,04E-62;0,000127122;0,733034219;0,000859391;0,989509558;0,98509676
TENM4;NA;-0,295613414;0,066249309;NA;NA;0,944142385;0,085614956;-0,160155581;0,014201496;0,067044295;0,304327282;0,367885217;0,162601203;9,85E-08;0,493863169;0,527758452;0,042268083;1,14E-61
PAQR5;1,417083884;-0,571553077;0,043302187;-0,12231742;NA;NA;0,357402057;-0,108782234;0,027049755;-0,144526491;0,034251317;0,060078065;1,11E-60;0,087621509;0,670352888;4,28E-06;0,921597038;0,727182888
PLD1;1,150241169;0,210529208;NA;0,32522681;0,046840835;-0,216293929;0,291118431;0,013229954;-0,037035236;0,129103156;0,012828355;-0,075791353;1,84E-60;0,814794511;0,785224978;0,000134682;0,844421851;0,15554858
PDE4B;0,705721678;NA;NA;NA;NA;NA;0,196871436;-0,302757667;-0,006356154;0,258886756;0,199148198;-0,234767827;3,05E-60;0,174169898;0,964241015;0,026453977;0,314690484;0,246604996
NCOR2;-0,536510139;0,013199715;0,103457928;-0,08260798;0,057739721;-0,008996453;-0,204322033;0,023376592;0,01521065;-0,041752256;0,028924442;-0,038401456;5,73E-60;0,247500824;0,553680527;0,007336989;0,476848416;0,173746643
