gene_ID;log2FC_A549;log2FC_BXPC3;log2FC_HAP1;log2FC_HT29;log2FC_K562;log2FC_MCF7;beta_cell_typeA549;beta_cell_typeBXPC3;beta_cell_typeHAP1;beta_cell_typeHT29;beta_cell_typeK562;beta_cell_typeMCF7;p_cell_typeA549;p_cell_typeBXPC3;p_cell_typeHAP1;p_cell_typeHT29;p_cell_typeK562;p_cell_typeMCF7
THSD4;0,282188077;0,21259238;0,432700961;1,102306445;NA;0,178526416;0,124310944;0,06534412;0,146229643;0,231291669;0,129370009;0,090664882;5,36E-09;0,001509677;1,14E-09;2,50E-60;0,194188838;7,28E-08
MUC16;NA;-1,339643597;NA;-1,224835007;NA;NA;0,127831981;-0,802432551;0,025786603;-0,678899426;0,192339599;-0,342275417;0,465165168;4,05E-60;0,939696898;1,85E-18;0,498602597;1,00E-05
SAMD9L;-1,196082214;-1,575280299;NA;-1,264357796;NA;NA;-0,714102817;-1,051151078;-0,24921574;-0,602963803;0,007289128;-0,872184214;2,34E-44;2,00E-59;0,324555603;1,49E-23;0,97644988;5,26E-09
LMO7;-0,58387972;-0,690737044;-0,027079606;-0,398456195;-0,051153627;-0,204806272;-0,230518966;-0,291640985;0,020935243;-0,103184766;0,011324645;-0,034938684;2,50E-19;9,07E-56;0,501747916;4,29E-41;0,863854048;0,156556038
PARP12;-0,850662241;-0,864513994;-1,6187159;-0,799512164;-0,707303009;-0,914315768;-0,373853058;-0,438659966;-0,773080922;-0,278505011;-0,370732015;-0,391306835;2,11E-22;1,41E-33;3,53E-12;9,76E-56;2,06E-16;8,67E-17
LINS1;0,052039661;-0,599461621;-0,9281179;-0,960732545;-0,208480158;-0,065429515;-0,009030079;-0,270593463;-0,39878643;-0,301621194;-0,086400632;-0,04615846;0,842057629;3,68E-06;2,43E-09;1,40E-55;0,031404658;0,206178348
ST3GAL4;0,128858229;0,543710828;0,041687011;0,934206827;0,18104523;0,002224209;0,067205904;0,258406807;0,023096511;0,206754306;0,064881739;0,055402104;0,199481779;1,31E-05;0,660207101;2,21E-55;0,207415021;0,031370564
MTSS1;NA;-0,090079339;NA;1,538649008;NA;0,290477031;-0,262877814;-0,040737285;0,116705945;0,355711281;0,252949205;0,148737198;0,044988828;0,185483897;0,563666444;2,25E-55;0,04321606;3,18E-05
ASTN2;0,401997322;NA;1,442065695;0,255052342;0,667894415;0,348811198;0,171708636;0,031848466;0,345523214;0,087823095;0,242498261;0,104745734;8,03E-07;0,775166243;7,41E-55;3,73E-05;1,97E-05;1,44E-06
ABLIM1;0,256007347;0,052231829;0,141624999;0,607306391;NA;-0,013479855;0,0984265;0,060476091;0,089633433;0,145432709;0,093977855;0,037749496;0,007329386;0,005214691;0,033080492;3,43E-54;0,268233116;0,455622922
EFNA5;0,430653583;0,393242017;-0,110286056;0,538610977;NA;-0,19938635;0,151756365;0,168220968;-0,004240214;0,125793026;-0,043891216;-0,046817979;4,00E-16;4,38E-19;0,804922502;3,88E-54;0,695397758;0,000430667
MYO10;-0,120104185;-0,060901533;0,254232903;-0,469575305;NA;-0,126747053;-0,061261698;-0,028658074;0,114640211;-0,132332605;0,014307892;-0,09377655;0,000426561;0,088874481;1,15E-11;1,54E-53;0,898184273;0,000164689
HLA-A;-1,109245925;-0,942547529;-1,029302208;-0,78520372;NA;-1,244133627;-0,417293926;-0,481965621;-0,363732305;-0,262572617;-233,9931679;-0,545584233;2,49E-08;5,06E-12;3,95E-07;1,59E-53;0,994036025;1,15E-37
ADAR;-0,408674739;-0,369880222;-0,609401495;-0,507936187;-0,486905588;-0,423312809;-0,144020665;-0,159026362;-0,206443819;-0,152440362;-0,193750514;-0,172315565;4,08E-11;1,46E-10;1,05E-15;5,06E-53;2,84E-10;2,84E-27
CACNA1D;NA;NA;NA;0,758053568;NA;-0,025227999;-0,045905521;0,150035763;0,225729999;0,165028127;0,330014107;-0,031600122;0,766143197;0,196131915;0,06162861;8,96E-53;0,05551899;0,208862201
FYN;NA;NA;0,063993004;1,373810707;-0,085027394;0,435125482;0,218849491;0,088082766;0,064205755;0,30183081;-0,052706072;0,158878557;0,034431767;0,381683637;0,15410496;1,08E-52;0,159764056;0,000190887
