gene_ID,log2FC_A549,log2FC_BXPC3,log2FC_HAP1,log2FC_HT29,log2FC_K562,log2FC_MCF7,beta_cell_typeA549,beta_cell_typeBXPC3,beta_cell_typeHAP1,beta_cell_typeHT29,beta_cell_typeK562,beta_cell_typeMCF7,p_cell_typeA549,p_cell_typeBXPC3,p_cell_typeHAP1,p_cell_typeHT29,p_cell_typeK562,p_cell_typeMCF7
IKBKE,-1.978789855,-0.440550228,0,-0.862441452,-1.353778022,-1.87351265,-0.738512189,-0.036314859,-0.369854124,-0.425493134,-0.713068716,-0.492727749,1.04E-13,0.812712911,0.634307612,6.88E-12,5.00E-05,3.69E-40
RHOBTB3,0.596311556,0.379612285,-0.200335128,0.119340248,-0.232443626,0.906841649,0.156600042,-0.212522665,-0.045590395,0.040812139,-0.066095136,0.158980989,0.000492199,0.28461801,0.681006804,0.081801261,0.093682144,9.48E-40
BCAS3,-0.084185808,0.32640432,0.242521858,-0.100389779,-0.437305137,0.515728115,0.003117523,-0.04774081,0.065845047,-0.015727748,-0.16692675,0.079349915,0.871506319,0.548979009,0.200994386,0.457620207,0.000678213,9.50E-40
EMP2,-0.289569201,0.439066631,0.123480926,0.414053938,0,1.115096793,-0.126144531,0.079818085,-0.000111399,0.129200894,0.06341942,0.199149122,0.132066698,0.447850555,0.999344622,4.91E-07,0.751404267,1.49E-39
HMGA2,-1.15971703,0.266633469,0.086822146,-0.761292694,0,0,-0.383376345,-0.026363541,-0.026111112,-0.244362383,-0.37866331,-0.249453765,4.16E-14,0.603000043,0.680250138,2.38E-39,0.054536652,0.000583655
STAT1,-0.270316954,0.475982813,0.236642741,-0.518507712,-0.186603259,-0.080550613,-0.057489659,0.125565626,0.110225556,-0.160566271,-0.00644198,-0.058400377,0.001049574,0.030901339,0.292559581,4.26E-39,0.909585167,0.000770635
EXT1,-0.874428581,0.028256102,0.157218132,-0.209191044,-0.41070609,-0.173127382,-0.228236099,-0.076052514,0.046341285,-0.050880466,-0.15368193,-0.075700442,6.12E-39,0.052578224,0.293360136,5.59E-10,0.065510531,9.59E-09
IFI44L,-0.739265587,0.893532141,0,-0.615662171,0,0,-0.17053594,0.330960204,0.496627872,-0.274590646,0.014006542,-0.623871817,0.009446623,5.16E-05,0.256394459,1.87E-38,0.975410733,0.067438795
RUNX2,-0.054638549,-0.047170975,0,-0.329889573,0,-0.848179804,-0.009957127,-0.096313349,0.074317696,-0.087414743,0.167619707,-0.227109129,0.707919224,0.29275179,0.780461906,0.000246244,0.180782372,8.80E-38
SCNN1A,2.662081924,0.293740986,0,0.445200174,0,1.915519445,0.658025624,0.045494724,-9.00354959,0.129896363,0.303393686,0.368856645,8.48E-30,0.604649742,0.559556468,1.42E-13,0.324701498,2.23E-37
0V2,-1.024185524,0.633294442,0,0,0,-1.882069347,-0.28560072,0.024244185,-0.284951111,-0.204523923,-0.011886253,-0.49532279,3.63E-27,0.791710071,0.464010564,0.03222041,0.949930503,2.99E-37
IL6ST,-0.259370506,0.007935072,-0.150541794,-0.902839212,-0.684729717,-0.929693167,-0.06727445,-0.140544882,-0.086508059,-0.291724911,-0.258581315,-0.249754081,0.009658323,0.035772614,0.366720842,3.02E-37,2.58E-06,1.24E-29
SOX4,0.195284265,-0.069291612,0.007513282,-0.126790708,0,-1.141291375,0.089612712,-0.445611285,-0.060512315,-0.049209761,-0.226949624,-0.279681579,0.154733724,0.052418379,0.683194589,0.133118821,0.657820823,3.97E-37
EPSTI1,0,0.374497081,0,-0.720151261,0,0,-0.277326411,0.200929307,0.116258397,-0.270153607,-0.550821561,0.135476211,0.1335061,0.044154101,0.791448518,5.82E-37,0.325921026,0.225203784
CD47,-0.646384753,0.477326891,0.184347284,-0.653435419,-0.129878485,-0.929167309,-0.17343464,0.15221569,0.132157386,-0.200446766,0.012465301,-0.273146863,3.09E-05,0.024973015,0.243860029,3.51E-19,0.878548839,7.38E-37
